No,연번,지방청,경찰서,관서명,구분,치안센터명,주소,경도,위도
1,1,서울청,서울중부,광희,지구대,황학치안센터,서울 중구 난계로 11길 52,127.0215957,37.56733971
2,2,서울청,서울중부,약수,지구대,다산치안센터,서울 중구 동호로 14길 18,127.0108371,37.5563848
3,3,서울청,서울중부,을지,지구대,DDP치안센터,서울 중구 을지로 281,127.0115868,37.56705987
4,4,서울청,서울중부,을지로3,파출소,충4치안센터,서울 중구 충무로2길 39,126.995364,37.56240712
5,5,서울청,서울종로,평창,파출소,구기치안센터,서울 종로구 비봉길 13,126.9564175,37.60957168
6,6,서울청,서울서대문,충정로,지구대,북아현1치안센터,서울 서대문구 신촌로 271번지,126.9564601,37.55765675
7,7,서울청,서울서대문,충정로,지구대,북아현치안센터,서울 서대문구 북아현로 59-1번지,126.9553751,37.56246043
8,8,서울청,서울서대문,신촌,지구대,신촌치안센터,서울 서대문구 신촌로 105번지,126.9376444,37.55556989
9,9,서울청,서울혜화,종로5가,파출소,종로3가치안센터,서울 종로구 돈화문로 28,126.9923297,37.57124768
10,10,서울청,서울용산,원효,지구대,청파치안센터,서울 용산구 청파로 274-2,126.9708913,37.54407255
11,11,서울청,서울용산,용중,지구대,남영치안센터,서울 용산구 한강대로 102길11-5,126.972849,37.55009781
12,12,서울청,서울용산,용중,지구대,용산치안센터,서울 용산구 신흥로 90,126.9855696,37.54607296
13,13,서울청,서울용산,한남,파출소,한남2치안센터,서울 용산구 이태원로 281,127.0015273,37.53976327
14,14,서울청,서울성북,돈암,지구대,돈암치안센터,서울 성북구 성북로 4길 52,127.0087724,37.5960197
15,15,서울청,서울성북,안암,지구대,보문치안센터,서울 성북구 보문로 13길 27,127.0205358,37.57966017
16,16,서울청,서울성북,안암,지구대,삼선치안센터,서울 성북구 보문로29길 92,127.0134877,37.58620899
17,17,서울청,서울성북,길음,지구대,길음1치안센터,서울 성북구 정릉로 31길 30 ,127.0153652,37.60387286
18,18,서울청,서울성북,길음,지구대,정릉1치안센터,서울 성북구 동소문로 258,127.0250021,37.60386698
19,19,서울청,서울성북,정릉,파출소,정릉3치안센터,서울 성북구 정릉로 10길 44,126.9992422,37.60792694
20,20,서울청,서울성북,정릉,파출소,정릉4치안센터,서울 성북구 보국문로 87,127.0081766,37.61187741
21,21,서울청,서울성북,성북,파출소,성북1치안센터,서울 성북로 23,127.0041236,37.59005247
22,22,서울청,서울동대문,답십리,지구대,답십리1치안센터,서울 동대문 고미술로 93,127.0568144,37.56466722
23,23,서울청,서울동대문,답십리,지구대,답십리2치안센터,서울 동대문 한천로11길 30,127.060732,37.56736112
24,24,서울청,서울동대문,용신,지구대,신설치안센터,서울 동대문구 왕산로 5,127.0242132,37.57619251
25,25,서울청,서울동대문,용신,지구대,용두치안센터,서울 동대문구 왕산로 95,127.0339965,37.5783452
27,27,서울청,서울동대문,장안1,파출소,남장안치안센터,서울 동대문구 한천로 10길 4,127.0614191,37.56543704
29,29,서울청,서울동대문,이문,파출소,이문1치안센터,서울 동대문구 이문로 119,127.0606238,37.59733052
30,30,서울청,서울동대문,이문,파출소,이문2치안센터,서울 동대문구 이문로 196,127.0621898,37.6039961
31,31,서울청,서울동대문,휘경,파출소,휘경2치안센터,서울 동대문구 망우로 20길 4,127.0626946,37.58985253
32,32,서울청,서울마포,공덕,지구대,아현치안센터,서울 마포구 환일길 3,126.9603153,37.55746379
33,33,서울청,서울마포,공덕,지구대,공덕치안센터,서울 마포구 만리재로 14,126.9528358,37.54399477
34,34,서울청,서울마포,용강,지구대,도화치안센터,서울 마포구 도화길 40,126.9502033,37.541283
35,35,서울청,서울마포,용강,지구대,염리치안센터,서울 마포구 숭문길 35,126.9452137,37.54812677
