행정구,행정동,학교명,주소,경도,위도
동대문구,휘경2동,서울시립대학교,서울 동대문구 서울시립대로 163 (전농동 90번지) ,127.0574562,37.58153176
서대문구,홍제2동,서울여자간호대학교,서울 서대문구 홍제3동 서울여자간호대학,126.947493,37.5976925
노원구,공릉2동,서울여자대학교,서울특별시 노원구 화랑로 621 서울여자대학교,127.0908356,37.62906275
중랑구,면목제3.8동,서일대학교,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,127.0974624,37.5862312
구로구,오류2동,성공회대학교,서울 구로구 항동 성공회대학교,126.825014,37.4883096
종로구,종로1.2.3.4가동,성균관대학교,서울 종로구 명륜동3가 성균관대학교,126.995971,37.5854873
성북구,동선동,성신여자대학교,서울 성북구 동선동3가 성신여자대학교,127.022126,37.5916394
광진구,군자동,세종대학교,서울 광진구 군자동 세종대학교,127.074498,37.5499838
용산구,청파동,숙명여자대학교,서울 용산구 청파로47길 100 숙명여자대학교,126.9636696,37.54628649
동작구,상도1동,숭실대학교,서울 동작구 상도동 511 숭실대학교,126.9562191,37.49791442
중구,필동,숭의여자대학교,서울특별시 중구 소파로2길 10(예장동),126.987229,37.55677019
서대문구,신촌동,연세대학교,서울 서대문구 신촌동 연세대학교,126.938574,37.565848
서대문구,신촌동,이화여자대학교,서울 서대문구 대현동 11-1 이화여자대학교,126.9474281,37.5625504
노원구,월계2동,인덕대학교,서울 노원구 초안산로 12,127.0545002,37.63034401
광진구,광장동,장로회신학대학교,서울 광진구 광장로 5길 25-1(광장동) 장로회신학대학교,127.1031354,37.55026725
종로구,교남동,적십자간호대학,서울 종로구 경교장길8,126.965968,37.56715527
동작구,흑석동,중앙대학교 서울캠퍼스,서울 동작구 흑석로 84,126.9587356,37.50503504
동작구,사당3동,총신대학교,서울 동작구 사당동 산31-3,126.9671024,37.49075065
서대문구,충현동,추계예술대학교,서울 서대문구 북아현동 190-1 추계예술대학교,126.9533017,37.56270264
