정류장명,위도,경도
종로2가사거리,126.9877499,37.56976513
창경궁.서울대학교병원,126.996566,37.57918302
명륜3가.성대입구,126.9983401,37.58267117
종로2가.삼일교,126.9876131,37.56857927
혜화동로터리.여운형활동터,127.001744,37.586243
서대문역사거리,126.966893,37.566137
서울역사박물관.경희궁앞,126.97038,37.569135
서울역사박물관.경희궁앞,126.970609,37.569412
광화문,126.9752508,37.57013547
광화문,126.9780855,37.57021681
종로1가,126.9809105,37.57011848
종로1가,126.9813906,37.57022903
종로2가,126.9855427,37.57013868
종로2가,126.9862475,37.5702572
종로3가.탑골공원,126.9895647,37.57024498
종로3가.탑골공원,126.9899878,37.57036054
종로4가.종묘,126.9947219,37.570507
종로4가.종묘,126.9952838,37.57062711
종로5가.광장시장,126.9988498,37.57075679
종로5가.광장시장,126.9993346,37.57088063
종로6가.동대문종합시장,127.0034639,37.57096248
종로6가.동대문종합시장,127.0057137,37.57112723
동대문역.흥인지문,127.0134512,37.57230232
동대문(흥인지문),127.0120461,37.57195293
동묘앞,127.0184514,37.57372552
동묘앞,127.019672,37.57424345
경기상고,126.9693635,37.58755022
신교동,126.9702627,37.58329552
경기상고,126.9697701,37.58719079
경복고교,126.9710437,37.58511319
청운중학교,126.9725135,37.58785196
자하문고개.윤동주문학관,126.9671262,37.59218662
자하문고개.윤동주문학관,126.9671907,37.59233532
청운중학교,126.9724613,37.58812858
경복고교,126.9711547,37.58496634
통인시장종로구보건소,126.97105,37.5803257
통인시장종로구보건소,126.9713851,37.58051321
효자동,126.970621,37.58309104
사직단.어린이도서관,126.9679907,37.57513553
사직동주민센터,126.9713245,37.57618346
경복궁역,126.972196,37.57686669
경복궁역,126.9722829,37.57767139
경복궁,126.9787471,37.57557679
KT광화문지사,126.9773193,37.57240648
광화문,126.9763839,37.5698454
서울역사박물관.경교장.강북삼성병원,126.971248,37.570023
광화문.금호아시아나본관앞,126.9731336,37.57028804
광화문,126.975837,37.570365
세종문화회관,126.9765653,37.57265774
서울지방경찰청.경복궁역,126.9714843,37.57574466
사직단,126.968189,37.57485535
광화문광화문빌딩,126.9765459,37.56945075
덕성여중고,126.982017,37.57590175
안국역.종로경찰서.인사동,126.9839958,37.57606956
국민은행세검정지점,126.960888,37.60466298
세검정초등학교,126.9612198,37.60250228
세검정.상명대,126.9587224,37.6007326
상명대입구.석파랑,126.9585702,37.59941335
하림각,126.9617068,37.59813307
자하문터널입구.석파정,126.9636435,37.59559351
부암동주민센터.무계원,126.9639574,37.59273806
부암동주민센터.무계원,126.9651419,37.59278617
자하문터널입구.석파정,126.9639776,37.59555757
하림각,126.9622153,37.59814765
상명대입구.세검정교회,126.9592406,37.59961633
세검정.상명대,126.9589343,37.60055246
세검정초등학교,126.9614329,37.60226807
국민은행세검정지점,126.9612088,37.60471919
승가사입구,126.956306,37.61158441
구기동현대빌라,126.9564576,37.6100355
구기터널.삼성출판박물관,126.9562103,37.60860989
구기터널.삼성출판박물관,126.9564167,37.6083054
구기동,126.9585298,37.60696445
구기동,126.9591017,37.6070088
승가사입구,126.956482,37.61148
갑을씨티텔앞,126.963535,37.60437097
평창파출소,126.9660433,37.60532237
평창동주민센터,126.9695663,37.60660737
일성아파트,126.9729985,37.60876631
롯데아파트,126.9764662,37.61042956
롯데아파트,126.976652,37.610248
벽산평창힐스아파트,126.972797,37.60819
예능교회,126.97,37.606517
서울예술고등학교.평창동주민센터,126.9676276,37.60577876
화정박물관,126.9648103,37.60450382
강북삼성병원,126.9686005,37.56814593
독립문역.서대문형무소역사관,126.9594644,37.57321269
서대문.서울시교육청,126.9645273,37.56825381
서대문역사거리.적십자병원,126.9675878,37.56710815
독립문,126.9615633,37.57117332
창덕궁.서울돈화문국악당,126.9885394,37.57754057
무교동,126.9802682,37.56924238
청계1가.광교,126.9849267,37.56868439
청계2가.수표교,126.9906742,37.56843718
청계4가.세운교,126.9964906,37.56886912
청계5가.광장시장,126.9997974,37.56945128
원남동,126.9973383,37.57453251
창덕궁.서울돈화문국악당,126.9878777,37.57719464
안국역.종로경찰서.인사동,126.9842426,37.5757849
조계사,126.9832244,37.57236602
조계사,126.9828259,37.57248581
안국동,126.9827201,37.57461057
종로5가.효제동.김상옥의거터,127.00223,37.5745
종로5가.효제초등학교,127.0021442,37.57287901
종로5가,127.0021827,37.5705596
청계6가.동대문시장,127.0028494,37.56983511
동대문,127.0084126,37.57172624
충신동,127.0062788,37.57402235
충신동,127.0063434,37.57446028
현대그룹빌딩,127.000533,37.575873
통신대(이화장),127.002437,37.578043
혜화역.마로니에공원,127.0022769,37.58111949
혜화역.서울대병원입구,127.0019395,37.58106363
통신대(이화장),127.0019938,37.57812967
이화동(이화장),127.0006951,37.57611936
창경궁.서울대학교병원,126.9968717,37.57882799
이화동(이화장),127.0032708,37.57593729
혜화동로터리,127.0007247,37.58576463
명륜동2가.성균관대입구,126.9993988,37.58333349
혜화역.서울연극센터(장면총리가옥),127.0013282,37.58402281
혜화역.동성중고(장면총리가옥),127.0017177,37.58456977
종로구민회관.창신동두산아파트,127.0155555,37.57409268
동묘역앞,127.0156014,37.57168496
동묘역앞,127.0158879,37.57189848
청계2가교차로,126.9878779,37.5684809
창신3동주민센터,127.015178,37.578413
숭인1동주민센터,127.0155486,37.57877205
동묘역.롯데캐슬천지인,127.0158024,37.57418005
신설동로터리,127.0227802,37.57592883
동묘앞,127.0178163,37.57372922
구기동현대빌라,126.956622,37.609682
광장시장,126.9977438,37.56949631
혜화경찰서,126.9974788,37.57258074
서울역사박물관.김구집무실(경교장),126.9721318,37.56990034
청계3가.관수교,126.9937794,37.56868879
청계6가.버들다리,127.0080377,37.56993039
청계7가.맑은내다리,127.0129554,37.56999753
청계8가.영도교,127.0182311,37.57094659
원남동사거리,126.9982147,37.57572287
숭인동,127.0204373,37.57427215
조계사,126.9831609,37.57280034
세종문화회관,126.9763658,37.57333352
이화동(이화장),127.002955,37.576257
상명대정문,126.9550207,37.60161972
이북오도청,126.9558883,37.61305032
상명대입구.세검정교회,126.9597922,37.59944351
상명대입구.석파랑,126.9581941,37.59957181
종로중부새마을금고,127.0065911,37.57241749
신설동로터리.신한은행앞.서울풍물시장,127.0231183,37.5743861
청계2가.삼일교,126.9872214,37.56844587
청계8가.황학교,127.022787,37.57213073
평창동삼성아파트,126.978368,37.610967
안국역.종로경찰서.인사동,126.9855365,37.57633293
안국역.종로경찰서.인사동,126.9847683,37.57640118
창덕궁,126.9890031,37.57722809
남인사마당,126.9874286,37.57131917
평창파출소,126.9668167,37.60568122
삼청공원,126.9816469,37.58822768
수성동계곡,126.9642468,37.58207916
명륜3가종점,126.9928637,37.59094838
명륜새마을금고,126.9967049,37.58765327
서대문3번출구,126.9662183,37.56641607
낙산공원,127.0087216,37.58040372
인사미술공간.세탁소,126.9893671,37.58141098
평화동물병원,126.9648837,37.6048012
금융연수원,126.9815692,37.5865985
박노수미술관,126.9666035,37.58099674
샘미용실,126.9932227,37.59030953
서울국제고등학교,126.9972903,37.58907159
평화동물병원,126.9652008,37.60498061
적십자병원후문앞,126.9652273,37.56752954
서울성곽.성대후문,126.9896321,37.5892577
빨래터.고희동미술관,126.9889728,37.58310083
세검초등학교,126.9614908,37.60425228
삼청동주민센터,126.9819072,37.58426383
통인시장,126.9687504,37.58045307
양현관,126.9936044,37.58979142
국민생활관,126.998862,37.58974563
오거리,126.9622629,37.60706212
경희궁자이2.3단지,126.9640686,37.56878711
창신쌍용2단지.한성대후문,127.0127581,37.5812648
통일부,126.9859477,37.58759481
원서고개,126.9878088,37.58308055
종로5가입구.혜화경찰서,126.9975411,37.57174724
삼청파출소,126.981251,37.58181366
오거리.한옥마을입구,126.9695411,37.57949632
명륜시장.성대후문,126.9952543,37.58851105
혜화초등학교,126.9998517,37.58725323
청련사입구,126.9624312,37.60798038
영천시장,126.9628352,37.57000501
명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621
감사원,126.9852901,37.58621065
중앙중고,126.9869653,37.58309218
인왕빌딩,126.9577443,37.60792833
종로4가.종묘공원,126.9944624,37.57063281
국립민속박물관,126.9795534,37.57925518
광화문새마을금고,126.9711466,37.57936877
새마을금고,126.9965181,37.58773706
혜화우체국,127.0006137,37.58603766
언덕앞,126.9637922,37.60895398
경희궁자이4단지,126.9621148,37.57070222
종로센트레빌후문.e편한세상보문아파트,127.0161855,37.58177439
사우디대사관앞.경남빌라,126.9850312,37.58410567
안국선원.삼거리,126.9849941,37.58279098
구기터널입구,126.9567769,37.60820461
종로3가.1.3.5호선,126.9921807,37.57107299
경복궁,126.9793378,37.57695016
경복궁역,126.9722765,37.57667748
소나무집,126.9641105,37.61127707
독립문역3번출구,126.9597453,37.57287848
청룡사.보문파크뷰자이아파트,127.0170071,37.58001895
북촌한옥마을입구.정세권활동터,126.9849422,37.58159973
종로1.2.3.4가동주민센터,126.9911314,37.57438371
창덕궁,126.99062,37.57608925
아름다운실버,126.9654637,37.61201006
독립문초등학교,126.9607207,37.57384748
종로센트레빌아파트,127.0156927,37.58035344
가회동주민센터,126.9848497,37.57993901
문방구,126.9579797,37.60626861
원남로터리,126.9975115,37.57623737
보현산신각,126.9657791,37.61348252
천사유치원,126.9618604,37.57464802
쌍용아파트입구.창신역,127.0149636,37.58051123
아름다운가게.정독도서관,126.985022,37.57889917
산정빌라,126.9574922,37.60515199
이화사거리,127.0020107,37.57646986
혜원사,126.9676873,37.61431026
무악현대아파트후문,126.962001,37.57630608
헌법재판소.안국역,126.9856756,37.57755843
청구빌라,126.956984,37.60461026
서울대어린이병원응급실.갑상선센터,126.999503,37.57811888
화인빌라,126.9685386,37.61293453
넓은마당,126.962888,37.57527281
창신초등학교,127.0153886,37.5769032
수운회관,126.9865172,37.57515983
상명대후문,126.9573354,37.60402558
힐탑,126.9690206,37.61160556
신학대학교총회본부,126.9634446,37.57397631
낙원상가,126.9872919,37.57367762
완성빌라,126.9575011,37.60340209
서울대병원장례식장,126.997431,37.5805554
혜화역1번출구,127.0019407,37.58345422
파라과이대사관,126.9699479,37.61240596
한국사회과학자료원,126.9641433,37.57363321
동묘역,127.0142454,37.57269435
금강제화,126.9874384,37.57054454
