No,주소,경도,위도
1,서울특별시 강남구 언주로 425,127.0430597,37.50111997
2,서울특별시 강남구 강남대로 538,127.0222696,37.51022148
3,서울특별시 강남구 강남대로 584,127.0206186,37.51393288
4,서울특별시 강남구 테헤란로 125,127.031675,37.49960058
5,서울특별시 강남구 남부순환로 2947,127.0626611,37.49457368
6,서울특별시 강남구 봉은사로 619,127.0631168,37.5150272
7,서울특별시 강남구 논현로 834,127.0286164,37.52283441
8,서울특별시 강남구 영동대로 513,127.0591588,37.51182403
9,서울특별시 강남구 테헤란로 518,127.060579,37.5075906
10,서울특별시 강남구 언주로 861,127.0331147,37.52740187
11,서울특별시 강남구 광평로 281,127.1030685,37.48811622
12,서울특별시 강남구 남부순환로 2621,127.036622,37.48525466
13,서울특별시 강남구 테헤란로 409,127.0503859,37.5053586
14,서울특별시 강남구 봉은사로 446,127.0485161,37.51136686
15,서울특별시 강남구 봉은사로2길 39,127.0266657,37.50211794
16,서울특별시 강남구 영동대로 513,127.0591588,37.51182403
17,서울특별시 강남구 학동로 419,127.0459756,37.51830442
18,서울특별시 강남구 도곡로 205,127.0413619,37.49291553
19,서울특별시 강남구 강남대로 390,127.0285791,37.49784071
20,서울특별시 강남구 도곡로 457,127.0601768,37.49900032
21,서울특별시 강남구 영동대로 720,127.056459,37.52218404
22,서울특별시 강남구 압구정로30길 17,127.0295536,37.52632982
23,서울특별시 강남구 압구정로12길 32,127.0225254,37.52189732
24,서울특별시 강남구 도산대로57길 24,127.0418352,37.52525474
25,서울특별시 강남구 강남대로 328,127.0309215,37.49242836
26,서울특별시 강남구 도산대로 328,127.0379696,37.52240609
27,서울특별시 강남구 삼성로 402,127.0588373,37.50337259
28,서울특별시 강남구 테헤란로 505,127.0574379,37.50756652
29,서울특별시 강남구 논현로 752,127.0286445,37.51916042
30,서울특별시 강남구 도산대로 108,127.02066,37.51619888
31,서울특별시 강남구 남부순환로 2909,127.0574106,37.49218246
32,서울특별시 강남구 언주로 650,127.0357533,37.51491948
33,서울특별시 강남구 도산대로 458,127.0468733,37.52377009
34,"""서울특별시 강남구 도곡로 408,""",127.0552329,37.49662142
35,서울특별시 강남구 역삼로 123,127.0330085,37.49415489
36,서울특별시 강남구 영동대로 513,127.0591588,37.51182403
37,"""서울특별시 강남구 논현로175길 94,""",127.0216436,37.52319739
38,"""서울특별시 강남구 테헤란로 211,""",127.0392423,37.50188824
39,"""서울특별시 강남구 테헤란로 134,""",127.0338033,37.49937465
40,"""서울특별시 강남구 강남대로 456,""",127.025571,37.50313767
41,"""서울특별시 강남구 도산대로 532,""",127.0515926,37.52434577
42,서울특별시 강남구 테헤란로87길 33,127.0579295,37.50982852
43,"""서울특별시 강남구 영동대로86길 12,""",127.0651883,37.50782398
44,서울특별시 강남구 논현로 704,127.0307637,37.51460457
45,서울특별시 강남구 도곡로 511,127.0622392,37.49963442
46,"""서울특별시 강남구 테헤란로 305,""",127.0437808,37.5033401
47,"""서울특별시 강남구 언주로30길 57,""",127.0540048,37.4894735
48,"""서울특별시 강남구 테헤란로 443,""",127.055598,37.5069512
49,"""서울특별시 강남구 테헤란로64길 18,""",127.0512043,37.50378316
50,"""서울특별시 강남구 압구정로 170,""",127.0281079,37.52676004
51,서울특별시 강남구 압구정로42길 32,127.0347344,37.52684266
52,서울특별시 강남구 논현로 401,127.0388978,37.49592216
53,"""서울특별시 강남구 테헤란로 223,""",127.0406738,37.50240201
54,"""서울특별시 강남구 선릉로 669,""",127.0412551,37.51660624
55,"""서울특별시 강남구 남부순환로 2936,""",127.0619167,37.49334957
56,서울특별시 강남구 논현로 88,127.0451293,37.47781318
57,서울특별시 강남구 테헤란로 142,127.0349542,37.49974423
58,서울특별시 강남구 영동대로 215,127.0685197,37.49799786
59,서울특별시 강남구 봉은사로 407,127.0445721,37.51078053
60,서울특별시 강남구 삼성로 605,127.052717,37.51348418
