병원/약국명,병원/약국구분,소재지주소,경도,위도
100세약국,약국,서울특별시 영등포구 양평로 24 (당산동6가),126.903743,37.53326304
123약국,약국,"서울특별시 강남구 언주로30길 10 410호 일부호 (도곡동, 현대비전21)",127.0515544,37.48733918
13층약국,약국,서울특별시 중구 서소문로 116 유원빌딩 1304호 (서소문동),126.9740097,37.56273538
153온누리약국,약국,"서울특별시 성동구 왕십리로 410 K동 106호 (하왕십리동, 센트라스)",127.0238056,37.56695088
1번약국,약국,서울특별시 구로구 구로동로 132 (구로동),126.8843092,37.49041006
1번약국,약국,"서울특별시 관악구 남부순환로 1832 1층 (봉천동, 삼한빌딩)",126.9534963,37.48070357
1층천호약국,약국,서울특별시 강동구 천호대로 1006 브라운스톤천호 105호 (성내동),127.1237911,37.53805508
1층호약국,약국,"서울특별시 노원구 한글비석로 383 1층 일부호 (중계동, 삼창타워프라자)",127.0726897,37.65906374
21C세계로약국,약국,서울특별시 강서구 화곡로 173 1층 (화곡동),126.8407478,37.54204077
21세기고려약국,약국,서울특별시 성북구 고려대로 80 (안암동5가),127.028175,37.586139
21세기메디칼약국,약국,서울특별시 강동구 천호대로 1199 (길동),127.1441535,37.53508963
21세기메디칼약국,약국,서울특별시 성동구 무수막길 97 (금호동2가),127.0198547,37.55433853
21세기보배약국,약국,"서울특별시 노원구 덕릉로 780 4,5,6호 (상계동, 동아불암아파트상가)",127.0790171,37.6670396
21세기상계약국,약국,서울특별시 노원구 동일로 1548 (상계동),127.0576238,37.6666627
21세기신천지약국,약국,서울특별시 영등포구 영등포로 232-1 (영등포동3가),126.9071502,37.51927105
21세기약국,약국,서울특별시 영등포구 여의대방로 177 (신길동),126.9211644,37.50291557
21세기약국,약국,서울특별시 광진구 용마산로 49 (중곡동),127.0875979,37.55798366
21세기약국,약국,서울특별시 관악구 신림로 370 (신림동),126.9291303,37.48735755
2층바른약국,약국,"서울특별시 중구 다산로11길 3 2층 (신당동, 약수JK빌딩)",127.010034,37.55442554
2층소망약국,약국,"서울특별시 양천구 월정로 50 209호 (신월동, 청솔아파트)",126.8421378,37.52426163
2층써밋약국,약국,"서울특별시 용산구 한강대로 69 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",126.9648925,37.52704035
2층은약국,약국,서울특별시 동작구 현충로 75 원불교100년기념관 (흑석동),126.9638596,37.50975898
2층즐거운약국,약국,서울특별시 강서구 양천로 559 가양이마트 2층 (가양동),126.8628104,37.5576752
2층하늘약국,약국,"서울특별시 마포구 월드컵북로 230 201호 (중동, 현대상가)",126.9038299,37.57013872
365구생약국,약국,서울특별시 은평구 통일로 739 1층 (대조동),126.9287341,37.61125152
365그린약국,약국,"서울특별시 강서구 강서로 43 B104호 (화곡동, 도양라비앙타워)",126.8465313,37.5315205
365미소약국,약국,"서울특별시 은평구 진관3로 11 1층 (진관동, 은평뉴타운 힐데스하임)",126.9182669,37.63946176
365바른약국,약국,서울특별시 송파구 가락로 94 1층 103호 (석촌동),127.1067125,37.50075198
365밝은약국,약국,서울특별시 중랑구 면목로39길 8 (면목동),127.08717,37.57975878
365약국,약국,서울특별시 성북구 동소문로 321 1층 (길음동),127.0294647,37.60863826
365열린약국,약국,서울특별시 관악구 남부순환로 1615 (신림동),126.9300855,37.48455443
365열린약국,약국,서울특별시 영등포구 영중로 119 리마크빌 영등포 2층 204-2호 (영등포동8가),126.9051769,37.52684933
365열린약국,약국,서울특별시 구로구 남부순환로97길 3 KS프리미어빌딩 105호 (개봉동),126.8582577,37.49400068
365일팜코리아약국,약국,서울특별시 도봉구 도봉로 733 1층 (도봉동),127.0433044,37.66992287
365종로약국,약국,서울특별시 동대문구 전농로 38 (답십리동),127.0572842,37.56826987
365프라자약국,약국,서울특별시 중랑구 공릉로 63 (묵동),127.0792716,37.61626134
365행복약국,약국,"서울특별시 노원구 한글비석로 57 지하1층 (하계동, 세이브존)",127.068819,37.63657931
3층 파란문 약국,약국,"서울특별시 용산구 한강대로 69 3층 305-1호 (한강로2가, 용산푸르지오써밋)",126.9648925,37.52704035
3층메디칼약국,약국,"서울특별시 송파구 양재대로 1222 23-1호및 23호(일부호 (방이동, 올림픽프라자)",127.1326157,37.51645028
3층엠코약국,약국,"서울특별시 중랑구 망우로 353 C동 309호 (상봉동, 현대엠코이노시티)",127.0900975,37.59797511
3층온누리약국,약국,"서울특별시 마포구 월드컵북로 230 305호 (중동, 현대상가)",126.9038299,37.57013872
3층하나약국,약국,"서울특별시 송파구 올림픽로35길 112 (신천동, 장미B상가 315호)",127.1018019,37.51788155
3층한사랑약국,약국,"서울특별시 서초구 반포대로 287 311호 (반포동, 래미안퍼스티지중심상가)",127.0008093,37.50439902
41약국,약국,서울특별시 양천구 목동동로 293 현대41타워 1층 36호 (목동),126.8757718,37.52817803
4층현약국,약국,서울특별시 동대문구 천호대로 425 (장안동),127.0664691,37.56181649
505약국,약국,서울특별시 구로구 구로동로42길 58 (구로동),126.8921035,37.50354507
