No,개방자치단체코드,관리번호,인허가일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,좌표정보(X),좌표정보(Y),판매점영업면적,경도,위도
1,3020000,PHMH320123020033087500004,20121108,1,영업/정상,13,영업중,02-792-1598,,,서울특별시 용산구 한강대로 49 (한강로3가),4379,GS25용산점,2.01308E+13,I,59:59.0,196751.1846,447037.7354,,126.963971835532,37.5255117226894
2,3020000,PHMH320123020033087500008,20121108,1,영업/정상,13,영업중,,,,서울특별시 용산구 한강대로 205 (한강로1가),4322,CU용산파크자이점,2.01308E+13,I,59:59.0,197514.1458,448264.3223,,126.971921512507,37.5369440498093
3,3020000,PHMH320123020033087500009,20121108,1,영업/정상,13,영업중,02-3275-3220,,,서울특별시 용산구 청파로 395 (서계동),4300,미니스톱 서울역점,2.01308E+13,I,59:59.0,197167.7779,450288.5618,,126.968749477902,37.5548756924222
4,3020000,PHMH320123020033087500012,20121108,1,영업/정상,13,영업중,02-796-9558,,서울특별시 용산구 한강로2가 2번지 36호 한강현대하이엘,서울특별시 용산구 새창로 213-12 한강현대하이엘 106호 (한강로2가),4376,지에스25 용산하이엘점,2.01806E+13,I,59:59.0,197105.4266,447582.7198,,126.968028368397,37.5304898454085
5,3020000,PHMH320123020033087500015,20121108,1,영업/정상,13,영업중,02-716-4925,,,서울특별시 용산구 청파로71길 40 (청파동1가),4304,GS25청파제일점,2.01308E+13,I,59:59.0,197092.4798,449710.6492,,126.967883685869,37.5496564104898
6,3020000,PHMH320123020033087500016,20121108,1,영업/정상,13,영업중,,140857,서울특별시 용산구 이태원동 243번지 37호,서울특별시 용산구 회나무로44길 46 302호 (이태원동),4346,GS25용산하얏트점,2.01403E+13,I,59:59.0,199509.3092,448585.5313,,126.99527661251,37.5394809122115
7,3020000,PHMH320123020033087500017,20121108,1,영업/정상,13,영업중,070-8639-2848,,,서울특별시 용산구 우사단로2길 12 (보광동),4414,세븐일레븐 보광우사단로점,2.01308E+13,I,59:59.0,199702.5014,447592.8062,,126.997409229721,37.5305779775352
8,3020000,PHMH320123020033087500019,20121108,1,영업/정상,13,영업중,,,,서울특별시 용산구 청파로47길 57 (청파동3가),4313,GS25숙대점,2.01308E+13,I,59:59.0,197035.084,449151.7622,,126.96720410876,37.5446316584312
9,3020000,PHMH320123020033087500024,20121109,1,영업/정상,13,영업중,,,,서울특별시 용산구 두텁바위로 13 (갈월동),4335,GS25용산그린점,2.01308E+13,I,59:59.0,197625.477,449251.2093,,126.973918552532,37.545509032863
10,3020000,PHMH320123020033087500025,20121109,1,영업/정상,13,영업중,222094406,140901,서울특별시 용산구 후암동 105번지 3호,서울특별시 용산구 후암로 47 (후암동),4332,GS25후암중앙점,2.01402E+13,I,59:59.0,197909.5347,449753.226,,126.977203846234,37.550125013857
11,3020000,PHMH320123020033087500026,20121109,1,영업/정상,13,영업중,,,,서울특별시 용산구 신흥로 149 (후암동),4337,GS25후암본점,2.01702E+13,I,59:59.0,198299.4523,449352.5106,,126.981551101469,37.5464453132588
12,3020000,PHMH320123020033087500027,20121109,1,영업/정상,13,영업중,02-715-5557,,,서울특별시 용산구 만리재로24길 47 (서계동),4303,세븐일레븐 용산서계점,2.01308E+13,I,59:59.0,196903.0764,450001.2119,,126.965733952954,37.552259442444
13,3020000,PHMH320123020033087500028,20121109,1,영업/정상,13,영업중,,,,서울특별시 용산구 새창로45길 79 (신계동),4370,GS25용산신계점,2.01308E+13,I,59:59.0,196970.6687,448034.4543,,126.966436595891,37.5345859770962
14,3020000,PHMH320123020033087500031,20121109,1,영업/정상,13,영업중,,,,서울특별시 용산구 대사관로 66 (한남동),4402,GS25한남제일점,2.01308E+13,I,59:59.0,200400.87,447878.7777,,127.005317476328,37.5330708904591
15,3020000,PHMH320123020033087500035,20121112,1,영업/정상,13,영업중,,,,서울특별시 용산구 한강대로 290-1 (남영동),4352,GS25숙대입구역점,2.01308E+13,I,59:59.0,197504.9943,449104.9534,,126.972584824293,37.5442108178466
16,3020000,PHMH320123020033087500037,20121112,1,영업/정상,13,영업중,,,,서울특별시 용산구 장문로45길 73 (보광동),4415,이마트24 보광사랑점,2.01903E+13,U,40:00.0,199953.7019,447435.72,,127.000261590827,37.529164772297
17,3020000,PHMH320123020033087500039,20121112,1,영업/정상,13,영업중,,,,서울특별시 용산구 독서당로 86 (한남동),4420,(주)코리아세븐한남UN점,2.01308E+13,I,59:59.0,200824.5593,448002.7378,,127.010092990385,37.5342805839019
18,3020000,PHMH320123020033087500042,20121112,1,영업/정상,13,영업중,,,,서울특별시 용산구 한강대로44길 16 101호 (한강로2가),4382,CU 한강로마루점,2.01705E+13,I,59:59.0,197341.9329,447606.5071,,126.970722618267,37.530708090288
19,3020000,PHMH320123020033087500046,20121113,1,영업/정상,13,영업중,,,서울특별시 용산구 한남동 738번지 24호,서울특별시 용산구 이태원로 245 (한남동),4348,이마트24 한남제일점,2.01908E+13,U,40:00.0,200034.2034,448331.6966,,127.000124299657,37.5370172264752
20,3020000,PHMH320123020033087500048,20121113,1,영업/정상,13,영업중,,,,서울특별시 용산구 청파로 112 (한강로3가),4371,GS25용산전자회관점,2.01308E+13,I,59:59.0,196727.5358,447868.1283,,126.963775415686,37.533089037333
21,3020000,PHMH320123020033087500050,20121114,1,영업/정상,13,영업중,,,,서울특별시 용산구 백범로90길 74 (문배동),4315,GS25용산으뜸,2.01308E+13,I,59:59.0,197313.8352,448424.2155,,126.969662343385,37.5374905097101
22,3020000,PHMH320123020033087500051,20121114,1,영업/정상,13,영업중,,,,서울특별시 용산구 효창원로69길 15 (효창동),4318,GS25효창행복점,2.01308E+13,I,59:59.0,196506.0633,448846.4248,,126.961261223085,37.5418555772294
23,3020000,PHMH320123020033087500053,20121114,1,영업/정상,13,영업중,,,,서울특별시 용산구 원효로89길 18 (원효로1가),4314,CU용산경찰서점,2.01308E+13,I,59:59.0,197124.0485,448737.3308,,126.968221515331,37.5408448960509
24,3020000,PHMH320123020033087500055,20121114,1,영업/정상,13,영업중,,,,서울특별시 용산구 한강대로 259 (갈월동),4322,GS25남영역점,2.01308E+13,I,59:59.0,197495.8187,448806.677,,126.972413017671,37.5415847778259
25,3020000,PHMH320123020033087500059,20121114,1,영업/정상,13,영업중,,,,서울특별시 용산구 한강대로43길 8 (한강로2가),4376,CU한강로벽산점,2.01308E+13,I,59:59.0,197257.7652,447772.2984,,126.969348710874,37.5320314186926
